"activity"	"subject"	"mean(value)"
"LAYING"	"1-tBodyAcc-mean()-X"	0.268648643296245
"LAYING"	"2-tBodyAcc-mean()-Y"	-0.0183177280685082
"LAYING"	"3-tBodyAcc-mean()-Z"	-0.107435631519084
"LAYING"	"41-tGravityAcc-mean()-X"	-0.375021333827161
"LAYING"	"42-tGravityAcc-mean()-Y"	0.622270362899691
"LAYING"	"43-tGravityAcc-mean()-Z"	0.55561247407572
"LAYING"	"81-tBodyAccJerk-mean()-X"	0.0818473898341049
"LAYING"	"82-tBodyAccJerk-mean()-Y"	0.0111723565401199
"LAYING"	"83-tBodyAccJerk-mean()-Z"	-0.00485976942268338
"LAYING"	"121-tBodyGyro-mean()-X"	-0.0167253403420918
"LAYING"	"122-tBodyGyro-mean()-Y"	-0.0934107103603086
"LAYING"	"123-tBodyGyro-mean()-Z"	0.125885141252623
"LAYING"	"161-tBodyGyroJerk-mean()-X"	-0.101864299363374
"LAYING"	"162-tBodyGyroJerk-mean()-Y"	-0.038198085408019
"LAYING"	"163-tBodyGyroJerk-mean()-Z"	-0.0638498197415123
"LAYING"	"201-tBodyAccMag-mean()"	-0.941110656500514
"LAYING"	"214-tGravityAccMag-mean()"	-0.941110656500514
"LAYING"	"227-tBodyAccJerkMag-mean()"	-0.97920875497428
"LAYING"	"240-tBodyGyroMag-mean()"	-0.938435972026749
"LAYING"	"253-tBodyGyroJerkMag-mean()"	-0.982726626075103
"LAYING"	"266-fBodyAcc-mean()-X"	-0.966812071347737
"LAYING"	"267-fBodyAcc-mean()-Y"	-0.952678416904835
"LAYING"	"268-fBodyAcc-mean()-Z"	-0.960018019984568
"LAYING"	"345-fBodyAccJerk-mean()-X"	-0.980197655180041
"LAYING"	"346-fBodyAccJerk-mean()-Y"	-0.971383628894033
"LAYING"	"347-fBodyAccJerk-mean()-Z"	-0.976614530180041
"LAYING"	"424-fBodyGyro-mean()-X"	-0.962915035776389
"LAYING"	"425-fBodyGyro-mean()-Y"	-0.967582058544239
"LAYING"	"426-fBodyGyro-mean()-Z"	-0.964184423173868
"LAYING"	"503-fBodyAccMag-mean()"	-0.94767271172428
"LAYING"	"516-fBodyBodyAccJerkMag-mean()"	-0.974300115365226
"LAYING"	"529-fBodyBodyGyroMag-mean()"	-0.95485445779321
"LAYING"	"542-fBodyBodyGyroJerkMag-mean()"	-0.977968240452675
"LAYING"	"4-tBodyAcc-std()-X"	-0.960932405036523
"LAYING"	"5-tBodyAcc-std()-Y"	-0.943507185574074
"LAYING"	"6-tBodyAcc-std()-Z"	-0.948069300024897
"LAYING"	"44-tGravityAcc-std()-X"	-0.943319727953189
"LAYING"	"45-tGravityAcc-std()-Y"	-0.963191706084414
"LAYING"	"46-tGravityAcc-std()-Z"	-0.951868724368827
"LAYING"	"84-tBodyAccJerk-std()-X"	-0.980381808513375
"LAYING"	"85-tBodyAccJerk-std()-Y"	-0.971147567757202
"LAYING"	"86-tBodyAccJerk-std()-Z"	-0.979476595910494
"LAYING"	"124-tBodyGyro-std()-X"	-0.967892432932613
"LAYING"	"125-tBodyGyro-std()-Y"	-0.963192469243827
"LAYING"	"126-tBodyGyro-std()-Z"	-0.963509228024691
"LAYING"	"164-tBodyGyroJerk-std()-X"	-0.976124813760288
"LAYING"	"165-tBodyGyroJerk-std()-Y"	-0.980473581049383
"LAYING"	"166-tBodyGyroJerk-std()-Z"	-0.984782526095679
"LAYING"	"202-tBodyAccMag-std()"	-0.932160020511831
"LAYING"	"215-tGravityAccMag-std()"	-0.932160020511831
"LAYING"	"228-tBodyAccJerkMag-std()"	-0.974240573559671
"LAYING"	"241-tBodyGyroMag-std()"	-0.940596109587449
"LAYING"	"254-tBodyGyroJerkMag-std()"	-0.976754966054527
"LAYING"	"269-fBodyAcc-std()-X"	-0.959031456047479
"LAYING"	"270-fBodyAcc-std()-Y"	-0.942460971074588
"LAYING"	"271-fBodyAcc-std()-Z"	-0.945643635450566
"LAYING"	"348-fBodyAccJerk-std()-X"	-0.982459599243827
"LAYING"	"349-fBodyAccJerk-std()-Y"	-0.973051242896091
"LAYING"	"350-fBodyAccJerk-std()-Z"	-0.980971915740741
"LAYING"	"427-fBodyGyro-std()-X"	-0.96974730340535
"LAYING"	"428-fBodyGyro-std()-Y"	-0.961365374902263
"LAYING"	"429-fBodyGyro-std()-Z"	-0.966725247165638
"LAYING"	"504-fBodyAccMag-std()"	-0.934916672889661
"LAYING"	"517-fBodyBodyAccJerkMag-std()"	-0.97318339962963
"LAYING"	"530-fBodyBodyGyroMag-std()"	-0.942115714415638
"LAYING"	"543-fBodyBodyGyroJerkMag-std()"	-0.976648216795267
"SITTING"	"1-tBodyAcc-mean()-X"	0.273059614418965
"SITTING"	"2-tBodyAcc-mean()-Y"	-0.0126895730832639
"SITTING"	"3-tBodyAcc-mean()-Z"	-0.105517003220878
"SITTING"	"41-tGravityAcc-mean()-X"	0.879731193472144
"SITTING"	"42-tGravityAcc-mean()-Y"	0.108713540331707
"SITTING"	"43-tGravityAcc-mean()-Z"	0.153774088505577
"SITTING"	"81-tBodyAccJerk-mean()-X"	0.0758788492274395
"SITTING"	"82-tBodyAccJerk-mean()-Y"	0.00504690529678683
"SITTING"	"83-tBodyAccJerk-mean()-Z"	-0.0024866605775919
"SITTING"	"121-tBodyGyro-mean()-X"	-0.0384313168439482
"SITTING"	"122-tBodyGyro-mean()-Y"	-0.0721208098964153
"SITTING"	"123-tBodyGyro-mean()-Z"	0.0777771461510523
"SITTING"	"161-tBodyGyroJerk-mean()-X"	-0.0956521058184581
"SITTING"	"162-tBodyGyroJerk-mean()-Y"	-0.040779780524009
"SITTING"	"163-tBodyGyroJerk-mean()-Z"	-0.0507555280236061
"SITTING"	"201-tBodyAccMag-mean()"	-0.95464392144063
"SITTING"	"214-tGravityAccMag-mean()"	-0.95464392144063
"SITTING"	"227-tBodyAccJerkMag-mean()"	-0.98244444337085
"SITTING"	"240-tBodyGyroMag-mean()"	-0.946724138930782
